region,cement_type,cement_content_kgm3,water_cement_ratio,fly_ash_pct,admixture_type,admixture_dosage_pct,curing_method,curing_temperature_C,curing_duration_hr,element_thickness_mm,element_type,ambient_temperature_C,relative_humidity_pct,season,automation_level,mould_reset_time_hr,strength_gain_time_hr,total_cycle_time_hr,cost_per_cycle_inr
West,PPC,371,0.45,6,HRWR,0.2,Accelerated,68.96711133076612,13,200,Staircase,31.057572600292573,33.3824373195297,Summer,Semi-Auto,2.6,4.7,7.8,3794.28
West,PPC,489,0.32,29,None,1.03,Accelerated,76.81032367511439,8,300,Beam,30.799017190959926,83.25542542718414,Monsoon,Fully-Auto,3.9,4.0,8.4,4455.56
Central,PSC,410,0.47,11,HRWR,0.07,Ambient,27.31164863850413,13,250,Slab,33.893489132561236,35.19709253119531,Monsoon,Manual,3.4,24.59,28.49,5713.81
West,PSC,314,0.32,22,HRWR,1.92,Polythene,26.868310775295495,21,300,Slab,53.725970672824374,66.41970374034739,Summer,Manual,2.4,20.57,23.47,4779.94
North,OPC43,387,0.4,7,None,1.63,Ambient,31.092998567487854,6,200,Staircase,36.175361429394385,59.23174024652033,Winter,Fully-Auto,2.1,18.0,20.6,3448.11
Central,PSC,334,0.42,4,Retarder,1.7,Steam,62.69099667900167,10,150,Beam,3.8025489591025554,74.79424507875403,Monsoon,Semi-Auto,1.2,9.92,11.62,4398.55
Central,OPC53,450,0.45,14,Accelerator,0.46,Polythene,29.36351573486512,7,150,Staircase,25.73131205960277,49.01420368774798,Monsoon,Fully-Auto,1.6,9.36,11.46,3565.04
North,PPC,489,0.3,12,Retarder,0.01,Ambient,25.415205837255012,13,200,Wall Panel,48.34138737384143,51.93327084967719,Monsoon,Manual,3.8,10.67,14.97,4602.28
North,OPC53,485,0.54,29,Accelerator,1.42,Polythene,28.674701930321962,6,100,Beam,23.99001897782587,61.76045317750283,Monsoon,Fully-Auto,1.3,12.76,14.56,4060.95
East,OPC53,323,0.42,1,Accelerator,1.07,Ambient,30.255799098060322,21,100,Wall Panel,20.075709398954494,73.20442724476673,Summer,Fully-Auto,1.6,13.64,15.74,2776.13
East,PPC,351,0.54,7,HRWR,1.87,Ambient,26.835206803070157,23,500,Slab,20.91590100936921,89.76220660843603,Monsoon,Fully-Auto,2.3,36.63,39.43,3958.25
East,OPC43,398,0.48,15,Retarder,1.77,Ambient,29.504789096038518,6,250,Beam,34.83198229195921,98.0,Monsoon,Fully-Auto,3.9,29.07,33.47,3929.2
South,PSC,488,0.36,0,None,0.99,Steam,63.61241941939474,13,500,Beam,26.43751322835276,87.33090239991735,Winter,Manual,1.4,5.69,7.59,4849.12
East,OPC43,329,0.46,14,HRWR,0.39,Polythene,29.28121647541857,21,200,Column,28.335840515760182,78.3527381948262,Summer,Fully-Auto,2.1,21.85,24.45,3275.01
West,PSC,392,0.41,20,Accelerator,1.96,Ambient,27.347629069287926,6,200,Slab,31.197941212796195,59.202184807279075,Monsoon,Fully-Auto,0.7,16.25,17.45,3464.17
